category,rank,team,country,points,era_points,matches,ppg,record,gf,ga,gd,competitions
"Copa",41,"O11CE","🇪🇺",3,2.58,2,1.500,"1-0-1",8,8,0,1
"Copa",42,"Psikomotronik FC","🇪🇸",3,2.58,2,1.500,"1-0-1",7,8,-1,1
"Copa",43,"Pharaohs FC","🇪🇬",3,2.58,2,1.500,"1-0-1",7,8,-1,1
"Copa",44,"Vodka Juniors Gime","🇪🇸",3,2.58,2,1.500,"1-0-1",6,12,-6,1
"Copa",45,"Kamikaze FC","🇪🇺",3,2.58,3,1.000,"1-0-2",7,12,-5,2
"Copa",46,"Pizzza FC","🇮🇹",3,2.37,2,1.500,"1-0-1",5,8,-3,1
"Copa",47,"Getafe CF","🇪🇸",3,2.37,3,1.000,"1-0-2",6,11,-5,2
"Copa",48,"Potatoes FC","🇮🇹",3,2.16,2,1.500,"1-0-1",9,10,-1,2
"Copa",49,"Grosse Condanne","🇮🇹",3,2.16,3,1.000,"1-0-2",7,7,0,2
"Copa",50,"Real Zaragoza","🇪🇸",3,1.95,1,3.000,"1-0-0",3,0,3,1
"Copa",51,"Skibidi Toilet","🇪🇺",3,1.95,2,1.500,"1-0-1",5,9,-4,1
"Copa",52,"Celta de Vigo","🇵🇹",3,1.74,2,1.500,"1-0-1",4,7,-3,1
"Copa",53,"Al Ahly FC","🇫🇷",3,1.53,2,1.500,"1-0-1",16,3,13,1
"Copa",54,"UD Fonteta","🇪🇸",3,1.53,6,0.500,"1-0-5",6,23,-17,5
"Copa",55,"Galaxy HC","🇪🇸",3,1.32,1,3.000,"1-0-0",4,2,2,1
"Copa",56,"Fineta HC","🇪🇸",1,1.00,2,0.500,"0-1-1",5,9,-4,2
"Copa",57,"HC Los F","🇪🇸",1,0.86,2,0.500,"0-1-1",3,11,-8,2
"Copa",58,"Harissa FC","🇹🇳",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",59,"Dark Knights","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",60,"Polska Gurom","🇵🇱",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",61,"SL Benfica","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",62,"New Spirit","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",63,"Hosbes FC","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",64,"Sporting de Gijón B","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",65,"Los Faraones","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",66,"Giresunspor FC","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",67,"Zuprimillo FC","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",68,"20th Century Boys","🇲🇦",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",69,"FC CHRG","🇲🇦",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",70,"Chelsea FC","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",71,"Esperanza","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",72,"Popper Munchen","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",73,"Red Diamond","🇲🇦",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",74,"Zamalek CS","🇪🇬",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",75,"Patetico Own Goal","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",76,"Girona Super Saiyachin","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",77,"Pink Dragons","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",78,"Xanax","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",79,"Mint Haxball","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Copa",80,"Benfica","🇲🇦",0,0.00,1,0.000,"0-0-1",1,2,-1,1
"Copa",81,"Ajax","🇵🇹",0,0.00,1,0.000,"0-0-1",1,2,-1,1
"Copa",82,"Real Furcia","🇪🇸",0,0.00,1,0.000,"0-0-1",0,1,-1,1
"Copa",83,"CD Quinto","🇪🇸",0,0.00,1,0.000,"0-0-1",2,3,-1,1
"Copa",84,"Albacete","🇪🇸",0,0.00,1,0.000,"0-0-1",1,2,-1,1
"Copa",85,"PoLish Niedzwiadki","🇵🇱",0,0.00,1,0.000,"0-0-1",2,3,-1,1
"Copa",86,"Brentford","🇪🇺",0,0.00,1,0.000,"0-0-1",2,4,-2,2
"Copa",87,"Atletico de Madrid","🇪🇸",0,0.00,1,0.000,"0-0-1",1,3,-2,2
"Copa",88,"Haramball FC","🇪🇸",0,0.00,1,0.000,"0-0-1",2,4,-2,1
"Copa",89,"San Lorenzo","🇪🇸",0,0.00,1,0.000,"0-0-1",8,10,-2,1
"Copa",90,"Newells Old Boys","🇪🇺",0,0.00,1,0.000,"0-0-1",0,3,-3,1
"Copa",91,"Atlas Lions","🇲🇦",0,0.00,1,0.000,"0-0-1",1,4,-3,1
"Copa",92,"Paw Patrol","🇪🇸",0,0.00,1,0.000,"0-0-1",2,5,-3,1
"Copa",93,"Mata Patos","🇵🇹",0,0.00,1,0.000,"0-0-1",1,4,-3,1
"Copa",94,"Tiyatro FC","🇹🇷",0,0.00,1,0.000,"0-0-1",1,4,-3,1
"Copa",95,"Husaria","🇵🇱",0,0.00,1,0.000,"0-0-1",5,8,-3,1
"Copa",96,"Blue Lock","🇪🇸",0,0.00,1,0.000,"0-0-1",0,4,-4,1
"Copa",97,"Opium","🇪🇸",0,0.00,1,0.000,"0-0-1",0,4,-4,1
"Copa",98,"Dark Fvria","🇪🇺",0,0.00,1,0.000,"0-0-1",0,4,-4,1
"Copa",99,"CF Talavera","🇪🇸",0,0.00,1,0.000,"0-0-1",2,6,-4,1
"Copa",100,"EDF","🇫🇷",0,0.00,1,0.000,"0-0-1",1,5,-4,1
"Copa",101,"Bari Passato","🇮🇹",0,0.00,1,0.000,"0-0-1",3,8,-5,1
"Copa",102,"Inter Talavera","🇪🇸",0,0.00,1,0.000,"0-0-1",3,8,-5,1
"Copa",103,"Haxlock Next Gen","🇮🇹",0,0.00,1,0.000,"0-0-1",2,8,-6,1
"Copa",104,"Manchester City","🇪🇸",0,0.00,1,0.000,"0-0-1",0,6,-6,1
"Copa",105,"Los Pollos Hermanos","🇮🇹",0,0.00,1,0.000,"0-0-1",1,7,-6,1
"Copa",106,"Luton Town FC","🇹🇷",0,0.00,1,0.000,"0-0-1",0,7,-7,1
"Copa",107,"Lleida Femenino","🇪🇸",0,0.00,1,0.000,"0-0-1",5,12,-7,1
"Copa",108,"El Pepe FC","🇪🇸",0,0.00,1,0.000,"0-0-1",1,8,-7,1
"Copa",109,"Phase Shift","🇮🇹",0,0.00,1,0.000,"0-0-1",2,9,-7,2
"Copa",110,"PSG","🇪🇺",0,0.00,1,0.000,"0-0-1",1,8,-7,1
"Copa",111,"Real Gamers United","🇪🇺",0,0.00,1,0.000,"0-0-1",1,10,-9,1
"Copa",112,"Ils Sont Tristes","🇹🇷",0,0.00,2,0.000,"0-0-2",2,13,-11,2
"Copa",113,"Palomares CF","🇪🇸",0,0.00,2,0.000,"0-0-2",0,11,-11,2
"Copa",114,"FC Santa Claus","🇮🇹",0,0.00,2,0.000,"0-0-2",7,20,-13,2
"Copa",115,"Canarios FC","🇲🇦",0,0.00,1,0.000,"0-0-1",1,14,-13,2
"Copa",116,"Dinamo Timanfaya Next Gen","🇪🇸",0,0.00,2,0.000,"0-0-2",0,14,-14,2
"Copa",117,"Atletic Lleida","🇪🇸",0,0.00,2,0.000,"0-0-2",2,18,-16,2
"Supercopa",1,"Knattspyrnufélag Reykjavíkur","🇪🇺",12,10.95,7,1.714,"4-0-3",36,17,19,4
"Supercopa",2,"Maximilian FC","🇹🇷",12,9.90,5,2.400,"4-0-1",28,19,9,3
